,AddrGrp,Routed Interface
0,VNC-2-FMC,outside
1,fmc-taicang-l4,inside dmz outside
2,fmc-taicang-dmz-ts,dmz
3,TPRAS_SSL_VPN_HOU_NAT,inside
4,FMC-SEP-servers,inside
5,EMSMTP,inside
6,TCG_DMZ_Terminal_Server,dmz
7,TCG_AD_Servers,outside
8,FMC_TAICING,outside
9,TCG_DMZ_Subnet,outside
